Year,Decade,Game,Screenshot,Genres,Themes,Keywords,Player Perspectives,Developers,C1_R,C1_G,C1_B,C2_R,C2_G,C2_B,C3_R,C3_G,C3_B,C4_R,C4_G,C4_B,C5_R,C5_G,C5_B
1978,1970,Red Baron / Panzer Attack,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scds2j.jpg,Shooter|Arcade,Action,,Bird view / Isometric,Dave Nutting Associates,240,60,60,170,170,240,260,260,260,140,0,200,240,0,10
1978,1970,Red Baron / Panzer Attack,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scds2k.jpg,Shooter|Arcade,Action,,Bird view / Isometric,Dave Nutting Associates,260,260,260,100,220,10,130,130,250,40,250,0,190,60,20
1978,1970,Red Baron / Panzer Attack,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scds2l.jpg,Shooter|Arcade,Action,,Bird view / Isometric,Dave Nutting Associates,210,30,40,260,260,260,170,90,160,180,180,250,130,130,250
1978,1970,Space Walk,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scphyj.jpg,Arcade,Action,,Side view,Midway Manufacturing,30,60,120,0,0,0,90,80,80,20,140,80,,,
1978,1970,Depth Charge,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scepwb.jpg,Arcade,Action,,Side view,The Elektrik Keyboard Ltd.,160,60,20,0,0,0,30,50,80,0,120,250,,,
1978,1970,Depth Charge,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scepwc.jpg,Arcade,Action,,Side view,The Elektrik Keyboard Ltd.,0,0,0,20,50,80,170,70,10,0,120,250,60,30,10
1978,1970,Depth Charge,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scepwd.jpg,Arcade,Action,,Side view,The Elektrik Keyboard Ltd.,70,40,30,0,0,0,10,30,60,170,70,20,0,120,250
1978,1970,Computer Othello,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sclsnq.jpg,Card & Board Game,,othello,Bird view / Isometric,Nintendo R&D1|Nintendo,120,110,90,160,150,120,200,200,170,40,30,20,90,70,60
1978,1970,Computer Othello,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sclsnr.jpg,Card & Board Game,,othello,Bird view / Isometric,Nintendo R&D1|Nintendo,40,20,20,80,70,60,140,110,90,180,170,140,210,210,210
1978,1970,Computer Othello,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sclsns.jpg,Card & Board Game,,othello,Bird view / Isometric,Nintendo R&D1|Nintendo,40,20,20,170,150,150,260,260,260,130,100,100,90,60,50
1978,1970,Computer Othello,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sclsnt.jpg,Card & Board Game,,othello,Bird view / Isometric,Nintendo R&D1|Nintendo,50,200,180,40,50,50,180,170,150,150,140,120,220,220,220
1978,1970,Computer Othello,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sclsnu.jpg,Card & Board Game,,othello,Bird view / Isometric,Nintendo R&D1|Nintendo,0,80,40,0,0,0,0,200,120,10,140,80,,,
1978,1970,Mr. Challenger,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scylui.jpg,Quiz/Trivia,Educational,word game|vfd display|anagrams|spelling,Text,Texas Instruments Incorporated,0,0,0,30,50,100,120,120,120,160,160,150,150,100,50
1978,1970,Mr. Challenger,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scyluj.jpg,Quiz/Trivia,Educational,word game|vfd display|anagrams|spelling,Text,Texas Instruments Incorporated,130,110,80,0,0,0,50,50,50,230,180,70,220,220,210
1978,1970,Mr. Challenger,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scyluk.jpg,Quiz/Trivia,Educational,word game|vfd display|anagrams|spelling,Text,Texas Instruments Incorporated,130,110,90,0,0,0,50,50,40,230,180,70,220,220,210
1978,1970,Mr. Challenger,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scylul.jpg,Quiz/Trivia,Educational,word game|vfd display|anagrams|spelling,Text,Texas Instruments Incorporated,260,260,260,140,120,100,0,0,0,230,200,80,60,60,60
1978,1970,Mr. Challenger,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scylum.jpg,Quiz/Trivia,Educational,word game|vfd display|anagrams|spelling,Text,Texas Instruments Incorporated,240,200,80,260,260,260,0,0,0,140,120,90,60,60,60
1978,1970,The Amazing Spider-Man Rescue,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnw25.jpg,Turn-based strategy (TBS),,spider-man|handheld electronic game,Side view,,180,200,200,10,120,180,220,30,20,110,150,170,100,80,90
1978,1970,The Incredible Hulk Escapes,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scq9g9.jpg,Simulator,,turn-based tactics,Side view,,200,200,200,150,150,20,60,60,50,150,160,160,130,120,120
1978,1970,The Incredible Hulk Escapes,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scq9g8.jpg,Simulator,,turn-based tactics,Side view,,90,90,60,100,120,120,170,220,120,130,180,80,50,50,30
1978,1970,Space Stranger,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scmw9z.jpg,Shooter|Arcade,Action|Science fiction,,Side view,,0,0,0,40,40,20,200,200,70,90,90,40,150,150,60
1978,1970,Space Stranger,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scmwa0.jpg,Shooter|Arcade,Action|Science fiction,,Side view,,0,0,0,200,200,70,140,140,50,80,80,30,,,
1978,1970,Space Stranger,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scmwa1.jpg,Shooter|Arcade,Action|Science fiction,,Side view,,0,0,0,200,200,70,30,40,20,90,90,40,140,140,50
1978,1970,Video Pinball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnfe1.jpg,Simulator|Pinball|Arcade,,,Bird view / Isometric,Atari,30,30,40,130,60,40,200,160,40,140,140,140,220,40,30
1978,1970,Video Pinball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnfe2.jpg,Simulator|Pinball|Arcade,,,Bird view / Isometric,Atari,230,210,60,190,90,60,240,230,130,110,50,80,200,190,120
1978,1970,Video Pinball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnfe3.jpg,Simulator|Pinball|Arcade,,,Bird view / Isometric,Atari,230,180,200,80,80,90,180,150,60,120,50,50,50,30,40
1978,1970,Night Driver,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scnued.jpg,Racing|Arcade,,street racing,Third person,Atari,80,40,40,30,30,140,90,90,140,0,0,0,10,10,60
1978,1970,Touch Me,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scq93u.jpg,Puzzle|Arcade,,,Text,Atari,260,260,260,120,120,90,180,200,160,40,50,40,160,130,20
1978,1970,Golf,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sctc64.jpg,Sport,,,Third person,Interton Electronic GmbH,180,0,190,180,180,10,0,170,0,0,160,170,130,90,120
1978,1970,Golf,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sctc65.jpg,Sport,,,Third person,Interton Electronic GmbH,150,70,110,180,0,190,0,170,0,180,180,0,0,160,170
1978,1970,Cockpit,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sctc80.jpg,Simulator,,flight simulator,First person,Interton Electronic GmbH,80,180,220,0,160,10,140,10,0,0,0,170,170,170,20
1978,1970,Cockpit,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sctc81.jpg,Simulator,,flight simulator,First person,Interton Electronic GmbH,140,30,10,180,180,10,0,160,10,0,0,170,120,120,210
1978,1970,Hangman,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scv7w1.jpg,Puzzle|Strategy,,,Side view|Text,Interton Electronic GmbH,110,50,40,0,0,0,180,180,150,100,140,100,20,30,110
1978,1970,Pork Barrel,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scu14f.jpg,Simulator,,political,Text,,70,70,70,100,100,100,0,0,0,50,50,50,,,
1978,1970,3-D Docking Mission,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scwppo.jpg,Simulator|Arcade,,,Bird view / Isometric,,90,90,90,120,120,120,0,0,0,60,60,60,,,
1978,1970,3-D Docking Mission,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scy4a2.jpg,Simulator|Arcade,,,Bird view / Isometric,,260,260,260,160,160,160,40,40,40,0,0,0,100,100,100
1978,1970,3-D Docking Mission,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scy4a1.jpg,Simulator|Arcade,,,Bird view / Isometric,,130,120,150,0,0,0,260,260,260,80,80,80,,,
1978,1970,3-D Docking Mission,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scy4a3.jpg,Simulator|Arcade,,,Bird view / Isometric,,120,110,130,0,0,0,60,60,60,90,90,90,,,
1979,1970,Akalabeth: World of Doom,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\ffcefhr9qxnlqxfjzh39.jpg,Role-playing (RPG),Fantasy,procedural generation|maze|monochrome|dungeon crawling,First person|Bird view / Isometric,Richard Garriott,40,40,40,0,0,0,70,70,70,140,140,140,10,30,130
1979,1970,Akalabeth: World of Doom,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\ihchgjsefi8qfphbm1a4.jpg,Role-playing (RPG),Fantasy,procedural generation|maze|monochrome|dungeon crawling,First person|Bird view / Isometric,Richard Garriott,150,210,140,40,30,50,0,0,0,40,250,40,110,100,100
1979,1970,Akalabeth: World of Doom,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\rmkgkztotj27jzlytky2.jpg,Role-playing (RPG),Fantasy,procedural generation|maze|monochrome|dungeon crawling,First person|Bird view / Isometric,Richard Garriott,40,40,40,0,0,0,120,120,120,80,80,80,,,
1979,1970,Akalabeth: World of Doom,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\wfsjmugflcyw177wi3xz.jpg,Role-playing (RPG),Fantasy,procedural generation|maze|monochrome|dungeon crawling,First person|Bird view / Isometric,Richard Garriott,70,70,70,130,130,130,0,0,0,,,,,,
1979,1970,Akalabeth: World of Doom,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\p6ixohvr8f0umpqxjabm.jpg,Role-playing (RPG),Fantasy,procedural generation|maze|monochrome|dungeon crawling,First person|Bird view / Isometric,Richard Garriott,40,40,40,0,0,0,140,140,140,80,80,80,,,
1979,1970,Galaxian,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\xlqnqtzp5xisvonqb2pa.jpg,Shooter|Arcade,Science fiction,aliens|gravity|shoot 'em up|spaceship|artificial intelligence|high score|8-bit|boss fight|digital distribution|launch titles|single-screen level|vertical scrolling|instant kill|cga graphics|misrepresentative box art|boss assistance|linear gameplay,Bird view / Isometric,Namco,10,20,40,0,0,0,40,40,110,140,60,50,70,30,30
1979,1970,Galaxian,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\ubsn8i5agg4fdvuqnjxz.jpg,Shooter|Arcade,Science fiction,aliens|gravity|shoot 'em up|spaceship|artificial intelligence|high score|8-bit|boss fight|digital distribution|launch titles|single-screen level|vertical scrolling|instant kill|cga graphics|misrepresentative box art|boss assistance|linear gameplay,Bird view / Isometric,Namco,30,80,90,0,0,0,90,90,100,100,10,10,,,
1979,1970,Circus Atari,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scueb5.jpg,Simulator|Arcade,Action|Comedy,abstract|digital distribution|block-breaking|clowns,Side view,Atari,210,190,120,110,40,80,120,110,140,50,60,160,0,30,140
1979,1970,Circus Atari,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\ihpkovixvfgya6ugda0k.jpg,Simulator|Arcade,Action|Comedy,abstract|digital distribution|block-breaking|clowns,Side view,Atari,200,150,120,250,60,0,250,250,0,100,100,210,250,20,240
1979,1970,Circus Atari,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scueb6.jpg,Simulator|Arcade,Action|Comedy,abstract|digital distribution|block-breaking|clowns,Side view,Atari,50,30,90,130,40,60,110,100,70,40,50,180,0,20,130
1979,1970,Monaco GP,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scpknw.jpg,Racing|Arcade,Action,cars|driving|vertical scrolling|linear gameplay|movement penalty,Bird view / Isometric,"Sega Enterprises, Ltd.",70,90,50,210,210,20,130,130,130,0,0,0,30,60,20
1979,1970,Asteroids,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\gjryrytjvjjf87xzohfo.jpg,Shooter|Arcade,Action|Science fiction,shoot 'em up|death|spaceship|space battle|teleportation|high score|vector graphics|explosion|single-screen level|infinite ammo|wraparound world|destructible environment|never-ending|weightlessness|one button combat,Bird view / Isometric,Atari,50,50,50,0,0,0,120,120,120,80,80,80,,,
1979,1970,Asteroids,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\ilkkrs0m6zbnkwyvehx9.jpg,Shooter|Arcade,Action|Science fiction,shoot 'em up|death|spaceship|space battle|teleportation|high score|vector graphics|explosion|single-screen level|infinite ammo|wraparound world|destructible environment|never-ending|weightlessness|one button combat,Bird view / Isometric,Atari,100,100,100,50,50,50,0,0,0,80,80,80,,,
1979,1970,Asteroids,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scmltg.jpg,Shooter|Arcade,Action|Science fiction,shoot 'em up|death|spaceship|space battle|teleportation|high score|vector graphics|explosion|single-screen level|infinite ammo|wraparound world|destructible environment|never-ending|weightlessness|one button combat,Bird view / Isometric,Atari,40,40,40,0,0,0,,,,,,,,,
1979,1970,Football,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sccr0z.jpg,Sport,Kids,,Bird view / Isometric,Magnavox,100,160,60,0,150,20,0,140,20,70,200,140,0,70,10
