Year,Decade,Game,Screenshot,Genres,Themes,Keywords,Player Perspectives,Developers,C1_R,C1_G,C1_B,C2_R,C2_G,C2_B,C3_R,C3_G,C3_B,C4_R,C4_G,C4_B,C5_R,C5_G,C5_B
1976,1970,Squash,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\juiftevrcuxbq3najlcb.jpg,Arcade,Action,,Bird view / Isometric,General Instrument Microelectronic,100,70,50,30,50,60,40,180,140,50,120,110,100,170,150
1976,1970,Solo,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\drjs6sxwrsb5xhd7efmb.jpg,Arcade,,,Bird view / Isometric,General Instrument Microelectronic,260,260,260,40,40,40,0,0,0,150,160,160,60,60,80
1976,1970,Hockey,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\bnv3rkgdtrnxoswnuyep.jpg,Sport,,,Bird view / Isometric,General Instrument Microelectronic,0,180,10,0,190,30,100,210,110,50,190,60,190,220,200
1976,1970,Moria,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc9fwn.jpg,Role-playing (RPG),Fantasy,vector graphics,First person,Jim Battin|Kevet Duncombe,40,20,10,50,30,10,70,40,20,0,0,0,,,
1976,1970,Moria,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc9fwo.jpg,Role-playing (RPG),Fantasy,vector graphics,First person,Jim Battin|Kevet Duncombe,40,30,10,0,0,0,60,40,10,90,60,20,,,
1976,1970,Moria,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc9fwp.jpg,Role-playing (RPG),Fantasy,vector graphics,First person,Jim Battin|Kevet Duncombe,0,0,0,80,40,10,40,20,10,,,,,,
1976,1970,Moria,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc9fwq.jpg,Role-playing (RPG),Fantasy,vector graphics,First person,Jim Battin|Kevet Duncombe,40,20,10,50,30,10,70,40,20,0,0,0,,,
1976,1970,Moria,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc9fwr.jpg,Role-playing (RPG),Fantasy,vector graphics,First person,Jim Battin|Kevet Duncombe,40,30,10,0,0,0,70,40,20,,,,,,
1976,1970,"Videocart-6: Math Quiz I - Addition, Subtraction",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\schyvg.jpg,,Educational,,,Fairchild Semiconductor,140,150,160,0,0,0,200,210,250,220,140,180,90,90,100
1976,1970,"Videocart-6: Math Quiz I - Addition, Subtraction",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco764.jpg,,Educational,,,Fairchild Semiconductor,230,130,170,0,0,0,210,210,250,110,110,110,160,170,190
1976,1970,"Videocart-6: Math Quiz I - Addition, Subtraction",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco765.jpg,,Educational,,,Fairchild Semiconductor,190,190,250,0,0,0,150,150,180,230,80,110,100,100,100
1976,1970,"Videocart-6: Math Quiz I - Addition, Subtraction",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco766.jpg,,Educational,,,Fairchild Semiconductor,230,70,90,190,190,250,140,150,160,0,0,0,220,110,150
1976,1970,"Videocart-6: Math Quiz I - Addition, Subtraction",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco768.jpg,,Educational,,,Fairchild Semiconductor,190,190,250,0,0,0,140,140,160,230,80,100,210,120,160
1976,1970,Tank 8,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scq2l2.jpg,Shooter|Arcade,Action,tank,Bird view / Isometric,Kee Games,260,260,260,180,180,180,40,40,40,0,0,0,90,90,90
1976,1970,Heavyweight Champ,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc10gzj.jpg,Fighting|Arcade,,boxing,Side view,"Sega Enterprises, Ltd.",170,170,170,130,130,130,260,260,260,0,0,0,60,60,60
1976,1970,Nurburgring-1,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sclc9s.jpg,Racing,Educational,germany|arcade racers|driving|monochrome|immersive,First person,,40,40,40,0,0,0,80,80,80,120,120,120,210,210,210
1976,1970,Nurburgring-1,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sclc9t.jpg,Racing,Educational,germany|arcade racers|driving|monochrome|immersive,First person,,40,40,40,0,0,0,70,70,70,110,110,110,160,160,160
1976,1970,Ace,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scmh95.jpg,Shooter|Arcade,Action|Warfare,airplane combat,Third person|Side view,Allied Leisure Industries,100,110,220,50,70,210,210,210,240,20,30,210,150,160,230
1977,1970,Zork,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\c8bzoelzitended2f5z6.jpg,Adventure,Fantasy,interactive fiction|treasure hunt|text adventure|questing|second person perspective|scummvm compatible,Text,Infocom|Infocom,70,70,70,40,40,40,0,0,0,90,90,90,,,
1977,1970,Zork,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\nlqjkclkziqzuohgyiov.jpg,Adventure,Fantasy,interactive fiction|treasure hunt|text adventure|questing|second person perspective|scummvm compatible,Text,Infocom|Infocom,260,260,260,180,180,180,200,200,200,60,60,60,,,
1977,1970,Zork,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\idqgmyc9oaau3aoyvitd.jpg,Adventure,Fantasy,interactive fiction|treasure hunt|text adventure|questing|second person perspective|scummvm compatible,Text,Infocom|Infocom,260,260,260,180,180,180,200,200,200,60,60,60,,,
1977,1970,Baseball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\m2lsunjhlxwps4mqarbu.jpg,Sport,Action,baseball,,,180,180,180,140,140,140,130,80,40,180,150,100,110,110,90
1977,1970,Air-Sea Battle,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scaf19.jpg,Shooter,Action|Warfare,helicopter|retro|airplane|launch titles,Side view,Atari,30,40,130,160,170,240,100,110,200,150,170,90,0,10,80
1977,1970,Air-Sea Battle,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scaf16.jpg,Shooter,Action|Warfare,helicopter|retro|airplane|launch titles,Side view,Atari,150,150,140,80,90,210,0,0,150,130,140,250,30,30,170
1977,1970,Air-Sea Battle,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scaf17.jpg,Shooter,Action|Warfare,helicopter|retro|airplane|launch titles,Side view,Atari,140,140,190,180,180,220,80,90,160,40,50,110,60,60,150
1977,1970,Air-Sea Battle,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scaf18.jpg,Shooter,Action|Warfare,helicopter|retro|airplane|launch titles,Side view,Atari,180,180,180,90,80,10,110,100,200,230,220,140,160,150,60
1977,1970,Air-Sea Battle,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scaf1a.jpg,Shooter,Action|Warfare,helicopter|retro|airplane|launch titles,Side view,Atari,70,80,170,170,180,250,110,120,210,20,20,110,160,80,100
1977,1970,Circus,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scueb7.jpg,Adventure,,circus|brick breaker,Text,Exidy,100,100,60,40,40,40,0,0,0,70,70,70,200,200,30
1977,1970,Circus,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scueb8.jpg,Adventure,,circus|brick breaker,Text,Exidy,40,40,40,0,0,0,110,110,20,120,120,120,210,210,30
1977,1970,Combat,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc99u3.jpg,Shooter|Arcade,Action|Warfare,modern warfare|world war ii - ww2|helicopter|vehicular combat|minigames|pinball|tank|airplane|vehicle combat|modern military|launch titles,Bird view / Isometric,Atari,50,80,150,40,50,160,40,100,150,50,20,160,170,180,110
1977,1970,Combat,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc99u4.jpg,Shooter|Arcade,Action|Warfare,modern warfare|world war ii - ww2|helicopter|vehicular combat|minigames|pinball|tank|airplane|vehicle combat|modern military|launch titles,Bird view / Isometric,Atari,130,30,10,190,140,60,0,0,0,160,70,30,80,60,60
1977,1970,Combat,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc99u5.jpg,Shooter|Arcade,Action|Warfare,modern warfare|world war ii - ww2|helicopter|vehicular combat|minigames|pinball|tank|airplane|vehicle combat|modern military|launch titles,Bird view / Isometric,Atari,200,150,90,240,170,100,180,80,60,180,140,90,80,70,140
1977,1970,Combat,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scz2t4.jpg,Shooter|Arcade,Action|Warfare,modern warfare|world war ii - ww2|helicopter|vehicular combat|minigames|pinball|tank|airplane|vehicle combat|modern military|launch titles,Bird view / Isometric,Atari,140,210,220,30,80,140,90,150,190,90,130,110,0,40,130
1977,1970,Canyon Bomber,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\ujcja2bj2jfnew6f0fgp.jpg,Shooter|Arcade,Warfare,block-breaking,Side view,Atari,170,170,170,130,130,130,200,200,200,0,0,0,60,60,60
1977,1970,Basic Math,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sctc33.jpg,Puzzle,Educational,math|edutainment|kid friendly|giraffe|digital distribution|zebra|rhinoceros|platform exclusive|launch titles|parrot|hippopotamus|porcupine,,Atari,80,80,10,140,150,60,110,110,30,90,90,10,120,130,40
1977,1970,Basic Math,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sctc34.jpg,Puzzle,Educational,math|edutainment|kid friendly|giraffe|digital distribution|zebra|rhinoceros|platform exclusive|launch titles|parrot|hippopotamus|porcupine,,Atari,110,60,70,140,100,50,60,0,110,80,20,90,,,
1977,1970,Basic Math,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sctc35.jpg,Puzzle,Educational,math|edutainment|kid friendly|giraffe|digital distribution|zebra|rhinoceros|platform exclusive|launch titles|parrot|hippopotamus|porcupine,,Atari,110,60,70,60,0,110,80,20,90,130,100,50,,,
1977,1970,Surround,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scq5t5.jpg,Arcade,Action,,Bird view / Isometric,Atari,80,100,220,0,0,0,210,120,200,160,100,160,150,110,210
1977,1970,Surround,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scq5t6.jpg,Arcade,Action,,Bird view / Isometric,Atari,170,160,80,0,0,0,190,120,70,140,120,80,210,90,70
1977,1970,Barricade,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scmto3.jpg,Puzzle|Arcade,,,Bird view / Isometric,RamTeK,40,40,40,0,0,0,140,140,140,90,90,90,220,220,220
1977,1970,Shooting Gallery,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\flh1na60qozam6jygrkf.jpg,Shooter,,,First person,General Instrument Microelectronic,80,110,30,10,120,0,180,90,60,40,120,30,120,100,40
1977,1970,Boot Hill,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sz177votibs8vu7qrfpu.jpg,Shooter|Arcade,Action,western|shooting|cover system|screen overlay,Side view,Midway|Dave Nutting Associates,70,70,70,130,130,130,0,0,0,210,210,210,,,
1977,1970,Boot Hill,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\yzj9xbzqjgqld1wzi4h1.jpg,Shooter|Arcade,Action,western|shooting|cover system|screen overlay,Side view,Midway|Dave Nutting Associates,200,190,130,60,120,40,170,140,20,60,60,10,120,110,10
1977,1970,Boot Hill,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\lh1chwjms5ktldmeguyx.jpg,Shooter|Arcade,Action,western|shooting|cover system|screen overlay,Side view,Midway|Dave Nutting Associates,70,70,70,130,130,130,0,0,0,210,210,210,,,
1977,1970,Boot Hill,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\lnxfriv35zjb7cnqshwe.jpg,Shooter|Arcade,Action,western|shooting|cover system|screen overlay,Side view,Midway|Dave Nutting Associates,200,190,130,60,120,40,170,140,20,60,60,10,120,110,10
1977,1970,Depthcharge,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scplpb.jpg,Shooter|Strategy|Arcade,Action,,Side view,Gremlin Industries,70,130,200,0,0,0,20,20,40,60,90,140,30,50,80
1977,1970,Car Polo,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\gytfxbe8zdx6yx8gcilf.jpg,Racing|Sport,,,Bird view / Isometric,Exidy,0,0,0,50,80,50,240,190,20,100,130,130,0,80,10
1977,1970,Space Wars,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\wpzvwncozsmaq67dox7k.jpg,Shooter|Arcade,Action|Science fiction,spaceship|space|vector graphics|screen overlay,Third person,Cinematronics|Cinematronics,200,200,200,40,40,40,0,0,0,160,150,180,100,90,100
1977,1970,Star Cruiser,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\breadu7hjvjargi83tzf.jpg,Arcade,Action|Science fiction,space combat|shoot 'em up|ufo|spaceship|space|explosion|single-screen level|instant kill,,RamTeK,120,120,120,0,0,0,260,260,260,60,60,60,,,
1977,1970,Car Race,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\yq2c7anmlufcrjmuqe6i.jpg,Racing,Action,,Bird view / Isometric,General Instrument Microelectronic,140,120,90,40,100,50,20,60,30,250,200,220,0,100,220
1977,1970,Robot Bowl,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scpmuh.jpg,Sport|Arcade,Non-fiction,bowling,Bird view / Isometric,Exidy,100,100,100,40,40,40,0,0,0,60,60,60,,,
1977,1970,Super Speed Race,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\scwmt3.jpg,Racing|Arcade,Action,,Bird view / Isometric,Taito,60,200,60,0,0,0,110,170,110,110,240,100,150,180,60
1977,1970,"Videocart-13: Robot War, Torpedo Alley",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\jibkpyowmydmwrjpuucx.jpg,Arcade,Action,,Bird view / Isometric|Side view,Fairchild Semiconductor,190,190,250,100,120,140,0,0,0,230,60,80,190,190,190
1977,1970,"Videocart-13: Robot War, Torpedo Alley",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\bpj2vi4qtxoow0kiggmn.jpg,Arcade,Action,,Bird view / Isometric|Side view,Fairchild Semiconductor,20,20,240,130,200,180,220,140,100,190,250,190,80,110,220
1977,1970,"Videocart-13: Robot War, Torpedo Alley",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7wa.jpg,Arcade,Action,,Bird view / Isometric|Side view,Fairchild Semiconductor,140,250,160,100,130,220,190,160,130,120,200,190,70,230,130
1977,1970,"Videocart-13: Robot War, Torpedo Alley",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7wb.jpg,Arcade,Action,,Bird view / Isometric|Side view,Fairchild Semiconductor,140,250,160,100,130,210,190,170,130,120,200,190,70,230,130
1977,1970,"Videocart-13: Robot War, Torpedo Alley",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7wc.jpg,Arcade,Action,,Bird view / Isometric|Side view,Fairchild Semiconductor,130,210,180,140,250,160,100,140,210,190,170,130,60,230,130
1977,1970,Videocart-12: Baseball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\rkmm8zlog1mbqe7csgp8.jpg,Sport,,,Bird view / Isometric,Fairchild Semiconductor,260,260,260,70,240,120,170,240,190,130,110,230,230,110,140
1977,1970,Videocart-12: Baseball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vt.jpg,Sport,,,Bird view / Isometric,Fairchild Semiconductor,210,120,120,160,160,200,90,90,220,90,220,90,190,190,190
1977,1970,Videocart-12: Baseball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vu.jpg,Sport,,,Bird view / Isometric,Fairchild Semiconductor,110,110,220,220,100,100,90,220,80,190,190,190,40,40,240
1977,1970,Videocart-12: Baseball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vv.jpg,Sport,,,Bird view / Isometric,Fairchild Semiconductor,110,110,220,220,100,100,90,220,80,190,190,190,40,40,240
1977,1970,Videocart-12: Baseball,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vw.jpg,Sport,,,Bird view / Isometric,Fairchild Semiconductor,110,110,220,220,100,100,90,220,80,190,190,190,40,40,240
1977,1970,"Videocart-11: Backgammon, Acey-Deucey",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\p0kkop1bcbdx5tzhzn1x.jpg,Strategy,,,,Fairchild Semiconductor,10,250,10,160,160,230,260,260,260,210,240,200,150,250,160
1977,1970,"Videocart-11: Backgammon, Acey-Deucey",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sc6ksz.jpg,Strategy,,,,Fairchild Semiconductor,120,210,120,80,80,220,220,90,90,30,240,30,190,190,190
1977,1970,"Videocart-11: Backgammon, Acey-Deucey",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vp.jpg,Strategy,,,,Fairchild Semiconductor,100,220,100,120,120,210,150,200,150,190,190,190,20,250,20
1977,1970,"Videocart-11: Backgammon, Acey-Deucey",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vq.jpg,Strategy,,,,Fairchild Semiconductor,220,110,110,100,220,100,150,200,150,190,190,190,20,250,20
1977,1970,"Videocart-11: Backgammon, Acey-Deucey",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vr.jpg,Strategy,,,,Fairchild Semiconductor,120,210,120,80,80,220,220,90,90,30,240,30,190,190,190
1977,1970,"Videocart-10: Maze, Cat and Mouse",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\usq9sh6ws8306306olzq.jpg,Platform|Puzzle,Action,maze,Bird view / Isometric,Fake Fairy,200,250,200,10,250,10,260,260,260,70,250,80,140,250,140
1977,1970,"Videocart-10: Maze, Cat and Mouse",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vl.jpg,Platform|Puzzle,Action,maze,Bird view / Isometric,Fake Fairy,170,170,170,260,260,260,0,0,0,110,110,110,60,60,60
1977,1970,"Videocart-10: Maze, Cat and Mouse",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vm.jpg,Platform|Puzzle,Action,maze,Bird view / Isometric,Fake Fairy,100,210,150,260,260,260,50,210,120,180,210,200,10,200,90
1977,1970,"Videocart-10: Maze, Cat and Mouse",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vh.jpg,Platform|Puzzle,Action,maze,Bird view / Isometric,Fake Fairy,180,220,200,260,260,260,10,200,100,70,210,130,110,210,160
1977,1970,"Videocart-10: Maze, Cat and Mouse",c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vi.jpg,Platform|Puzzle,Action,maze,Bird view / Isometric,Fake Fairy,180,220,200,260,260,260,20,200,100,140,210,170,80,210,140
1977,1970,Videocart-9: Drag Strip,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\c6lcuyuprnnhffvgnrhh.jpg,Racing,,,Bird view / Isometric,Fairchild Semiconductor,230,70,90,110,170,170,220,170,180,220,130,140,210,210,210
1977,1970,Videocart-9: Drag Strip,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vb.jpg,Racing,,,Bird view / Isometric,Fairchild Semiconductor,230,80,80,200,140,140,0,0,250,120,110,210,190,190,190
1977,1970,Videocart-9: Drag Strip,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vc.jpg,Racing,,,Bird view / Isometric,Fairchild Semiconductor,230,80,80,10,10,250,120,120,210,210,140,140,190,190,190
1977,1970,Videocart-9: Drag Strip,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7va.jpg,Racing,,,Bird view / Isometric,Fairchild Semiconductor,230,30,40,210,110,110,60,230,50,70,80,220,190,190,190
1977,1970,Videocart-9: Drag Strip,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco7vd.jpg,Racing,,,Bird view / Isometric,Fairchild Semiconductor,230,70,70,220,110,110,200,150,160,100,220,100,190,190,190
1977,1970,Videocart-8: Magic Numbers - Mind Reader & Nim,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\u2cen1xqvdrvxs4zylxt.jpg,Strategy,,,,Fairchild Semiconductor,140,160,210,260,260,260,0,0,0,200,150,160,80,80,80
1977,1970,Videocart-8: Magic Numbers - Mind Reader & Nim,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco79h.jpg,Strategy,,,,Fairchild Semiconductor,0,0,0,100,100,220,220,100,100,190,190,190,120,160,120
1977,1970,Videocart-8: Magic Numbers - Mind Reader & Nim,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco79i.jpg,Strategy,,,,Fairchild Semiconductor,0,0,0,140,140,160,230,60,60,190,190,190,40,40,240
1977,1970,Videocart-8: Magic Numbers - Mind Reader & Nim,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco79j.jpg,Strategy,,,,Fairchild Semiconductor,250,20,20,0,0,0,10,10,250,130,160,140,190,190,190
1977,1970,Videocart-8: Magic Numbers - Mind Reader & Nim,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco79k.jpg,Strategy,,,,Fairchild Semiconductor,240,40,40,140,140,170,0,0,0,190,190,190,40,40,240
1977,1970,Videocart-7: Math Quiz II - Multiplication & Division,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\swgvgc6fiz4mvljcutyl.jpg,Strategy,Educational,,,Fairchild Semiconductor,240,40,50,190,190,250,210,130,170,0,0,0,130,150,170
1977,1970,Videocart-7: Math Quiz II - Multiplication & Division,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco76a.jpg,Strategy,Educational,,,Fairchild Semiconductor,230,80,60,200,230,170,220,140,100,190,250,190,210,190,140
1977,1970,Videocart-7: Math Quiz II - Multiplication & Division,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco76b.jpg,Strategy,Educational,,,Fairchild Semiconductor,190,190,250,0,0,0,150,150,180,230,80,110,100,100,100
1977,1970,Videocart-7: Math Quiz II - Multiplication & Division,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco76c.jpg,Strategy,Educational,,,Fairchild Semiconductor,210,130,170,190,190,250,140,150,170,0,0,0,230,80,100
1977,1970,Videocart-7: Math Quiz II - Multiplication & Division,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco76d.jpg,Strategy,Educational,,,Fairchild Semiconductor,210,130,180,190,190,250,0,0,0,140,140,160,230,80,100
1977,1970,Videocart-4: Spitfire,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\ksbf5w8fxbek4bzcfp7v.jpg,Shooter,Action,shoot 'em up,Side view,Fairchild Semiconductor,190,190,250,100,220,130,220,80,110,20,250,30,60,60,240
1977,1970,Videocart-4: Spitfire,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco75w.jpg,Shooter,Action,shoot 'em up,Side view,Fairchild Semiconductor,230,70,90,100,220,140,190,190,250,40,240,50,70,70,250
1977,1970,Videocart-4: Spitfire,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco75x.jpg,Shooter,Action,shoot 'em up,Side view,Fairchild Semiconductor,190,190,250,240,30,40,210,140,190,80,230,100,60,60,250
1977,1970,Videocart-4: Spitfire,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco75y.jpg,Shooter,Action,shoot 'em up,Side view,Fairchild Semiconductor,30,30,250,190,190,250,120,120,250,220,120,150,240,40,60
1977,1970,Videocart-4: Spitfire,c:\Users\nina\Documents\UNI\SEM\thesis\new_git\masterThesis\coding\game_color_analysis\data\screenshots\sco75z.jpg,Shooter,Action,shoot 'em up,Side view,Fairchild Semiconductor,190,190,250,60,230,90,130,210,170,230,60,80,60,60,250
