Year,Game,Screenshot,Palette
2025,No Man's Sky,screenshots\o0pqdynpsv7vvziaxwzr.jpg,"[(193, 115, 72), (209, 230, 92), (225, 237, 190), (218, 164, 80), (245, 219, 94), (161, 181, 64), (228, 234, 141), (135, 158, 50), (196, 151, 43)]"
2025,No Man's Sky,screenshots\byull3k2xzfndgivkdlw.jpg,"[(196, 189, 161), (40, 38, 87), (102, 184, 182), (118, 99, 114), (68, 123, 138), (52, 85, 114), (35, 115, 188), (20, 13, 39), (22, 67, 152)]"
2025,No Man's Sky,screenshots\slbfwlrvqjrgvrvfghrk.jpg,"[(104, 44, 66), (212, 211, 171), (85, 177, 155), (142, 128, 118), (122, 199, 171), (157, 111, 77), (207, 173, 119), (79, 92, 140), (216, 242, 226)]"
2025,No Man's Sky,screenshots\xufkotfn5udk2aijb6f0.jpg,"[(41, 17, 67), (202, 193, 171), (58, 200, 185), (117, 74, 94), (162, 68, 92), (47, 81, 127), (44, 82, 98), (86, 95, 181), (81, 43, 76)]"
2025,No Man's Sky,screenshots\kmyailnbyy0afbyqdfxn.jpg,"[(164, 225, 182), (40, 71, 64), (107, 63, 77), (221, 248, 200), (82, 145, 78), (99, 136, 116), (94, 168, 135), (129, 184, 113), (198, 248, 220)]"
2025,The Night of the Rabbit,screenshots\xc0n6bpbgzlezqcnyifg.jpg,"[(200, 174, 113), (31, 28, 18), (121, 97, 60), (78, 62, 38), (70, 88, 166), (142, 151, 118), (88, 94, 63), (49, 62, 104), (156, 68, 44)]"
2025,The Night of the Rabbit,screenshots\xmittram8iporwm7sanv.jpg,"[(219, 207, 143), (31, 24, 7), (122, 98, 34), (78, 60, 18), (173, 93, 35), (148, 148, 105), (91, 92, 49), (85, 78, 70), (144, 140, 136)]"
2025,The Night of the Rabbit,screenshots\ipkpb4hxvoko2fudqcjs.jpg,"[(24, 41, 25), (177, 184, 133), (104, 124, 88), (117, 173, 141), (56, 84, 58), (94, 97, 63), (51, 96, 94), (148, 116, 68), (100, 148, 148)]"
2025,The Night of the Rabbit,screenshots\zcviflszvo2am9fxyi5f.jpg,"[(167, 198, 207), (113, 166, 174), (15, 26, 38), (85, 118, 133), (111, 145, 166), (50, 76, 94), (61, 106, 103), (40, 71, 73), (87, 89, 95)]"
2025,The Night of the Rabbit,screenshots\h81eef4uuvqmfaniadcc.jpg,"[(188, 174, 148), (26, 29, 38), (89, 99, 117), (121, 160, 159), (111, 85, 62), (109, 129, 164), (53, 63, 82), (66, 105, 79), (150, 65, 50)]"
2025,Cookie Clicker,screenshots\scsps5.jpg,"[(217, 215, 211), (109, 79, 56), (182, 185, 186), (109, 121, 131), (163, 165, 170), (34, 53, 73), (163, 132, 92), (62, 32, 22), (148, 132, 97)]"
2025,Cookie Clicker,screenshots\scsps8.jpg,"[(187, 168, 150), (29, 32, 32), (123, 95, 79), (128, 171, 150), (42, 78, 103), (78, 56, 47), (90, 132, 162), (63, 111, 121), (163, 66, 42)]"
2025,Cookie Clicker,screenshots\scsps7.jpg,"[(194, 162, 144), (127, 86, 71), (28, 25, 24), (137, 161, 141), (172, 53, 46), (78, 51, 40), (79, 100, 86), (134, 138, 148), (69, 80, 93)]"
2025,Cookie Clicker,screenshots\scsps6.jpg,"[(96, 66, 50), (209, 191, 174), (163, 197, 183), (30, 55, 66), (150, 142, 122), (158, 84, 63), (139, 153, 173), (91, 104, 121), (198, 69, 32)]"
2025,Black Desert,screenshots\sc6vro.jpg,"[(185, 124, 119), (25, 21, 21), (110, 70, 73), (67, 48, 51), (73, 86, 93), (44, 57, 67), (65, 74, 93), (135, 131, 149), (140, 148, 160)]"
2025,Black Desert,screenshots\sc6vrp.jpg,"[(44, 50, 60), (230, 226, 229), (129, 123, 120), (92, 88, 87), (88, 99, 120), (106, 116, 123), (148, 151, 165), (153, 166, 159), (164, 132, 96)]"
